method,accuracy,selection_time_ms,response_time_s,avg_tokens,successful_tests
Random,95.0,165.60850620269775,1.4711406636238098,869.11,100
Similarity,99.0,122.96577453613281,1.3938177752494811,870.14,100
MMR,96.0,170.24012327194214,1.5302267813682555,866.26,100
K-means,97.0,122.31995344161987,1.6392204642295838,1034.18,100
HDBSCAN,96.0,154.76086616516113,1.5674278593063355,814.99,100
"CM-MMR
(K-means)",97.0,246.43166542053223,1.4768009495735168,870.39,100
"CM-MMR
(HDBSCAN)",97.0,235.57172298431396,1.5620626950263976,837.23,100
